＜でん粉・でん粉製品＞ （でん粉製品） でん粉めん 乾 ゆで,0,0.2,20.6,2
＜でん粉・でん粉製品＞ （でん粉製品） はるさめ 緑豆はるさめ 乾,0.2,0.4,87.5,2
＜でん粉・でん粉製品＞ （でん粉製品） はるさめ 緑豆はるさめ ゆで,0,0.1,20.6,2
＜でん粉・でん粉製品＞ （でん粉製品） はるさめ 普通はるさめ 乾,0,0.2,86.6,2
＜でん粉・でん粉製品＞ （でん粉製品） はるさめ 普通はるさめ ゆで,0,0,19.9,2
（砂糖類） 黒砂糖,1.7,0,90.3,3
（砂糖類） てんさい含蜜糖,0.9,0,96.9,3
（砂糖類） 和三盆糖,0.2,0,99,3
（砂糖類） 車糖 上白糖,0,0,99.3,3
（砂糖類） 車糖 三温糖,0,0,99,3
（砂糖類） ざらめ糖 グラニュー糖,0,0,100,3
（砂糖類） ざらめ糖 白ざら糖,0,0,100,3
（砂糖類） ざらめ糖 中ざら糖,0,0,100,3
（砂糖類） 加工糖 角砂糖,0,0,100,3
（砂糖類） 加工糖 氷砂糖,0,0,100,3
（砂糖類） 加工糖 コーヒーシュガー,0.1,0,99.8,3
（砂糖類） 加工糖 粉糖,0,0,99.7,3
（砂糖類） 液糖 しょ糖型液糖,0,0,67.9,3
（砂糖類） 液糖 転化型液糖,0,0,76.6,3
（砂糖類） 氷糖みつ,0.2,0,68.2,3
（でん粉糖類） 還元麦芽糖,0,0,100,3
（でん粉糖類） 還元水あめ,0,0,69.9,3
（でん粉糖類） 粉あめ,0,0,97,3
（でん粉糖類） 水あめ 酵素糖化,0,0,85,3
（でん粉糖類） 水あめ 酸糖化,0,0,85,3
（でん粉糖類） ぶどう糖 全糖,0,0,91,3
（でん粉糖類） ぶどう糖 含水結晶,0,0,91.3,3
（でん粉糖類） ぶどう糖 無水結晶,0,0,99.7,3
（でん粉糖類） 果糖,0,0,99.9,3
（でん粉糖類） 異性化液糖 ぶどう糖果糖液糖,0,0,75,3
（でん粉糖類） 異性化液糖 果糖ぶどう糖液糖,0,0,75,3
（でん粉糖類） 異性化液糖 高果糖液糖,0,0,75,3
（その他） 黒蜜,1,0,50.5,3
（その他） はちみつ,0.3,0,81.9,3
（その他） メープルシロップ,0.1,0,66.3,3
